id,Data source citation,Class,Order,Family,Genus,Species,Sub species,Authority,Common Name,Location of population,Country list,Region,Decimal Latitude,Decimal Longitude,Are coordinates for specific location?,system,biome,realm,Native,Alien,Invasive,Units,Sampling method,Data transformed,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
8219," Cadieux, M.-C., G. Gauthier, et al. (2008). Monitoring the environmental and ecological impacts of climate change on bylot island, sirmilik national park. 2004-2008 NEL Final Report, Université Laval: 1-118.",Aves,Charadriiformes,Stercorariidae,Stercorarius,longicaudus,,"Vieillot, 1819",Long-tailed jaeger / Long-tailed skua,"Southern Plain, Sirmilik National Park, Bylot Island, (Qarlikturvik Valley /main goose nesting colony)",Canada,North America,73,-80,TRUE,Marine,Unknown,Arctic,Yes,No,No,Number of nests,Survey area for nests,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,0,9,9,0,0,23,18,7,30,,,,,,,
8220," Cadieux, M.-C., G. Gauthier, et al. (2008). Monitoring the environmental and ecological impacts of climate change on bylot island, sirmilik national park. 2004-2008 NEL Final Report, Université Laval: 1-118.",Aves,Charadriiformes,Laridae,Larus,hyperboreus,,"Gunnerus, 1767",Glaucous gull,"Southern Plain, Sirmilik National Park, Bylot Island, (Qarlikturvik Valley/main goose nesting colony)",Canada,North America,73,-80,TRUE,Marine,Unknown,Arctic,Yes,No,No,Number of nests,Survey area for nests,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,7,5,4,1,,10,12,16,22,,,,,,,
8225," Cadieux, M.-C., G. Gauthier, et al. (2008). Monitoring the environmental and ecological impacts of climate change on bylot island, sirmilik national park. 2004-2008 NEL Final Report, Université Laval: 1-118.",Aves,Anseriformes,Anatidae,Clangula,hyemalis,,"(Linnaeus, 1758)",Long-tailed duck,"Southern Plain, Sirmilik National Park, Bylot Island, (Qarlikturvik Valley/main goose nesting colony)",Canada,North America,73,-80,TRUE,Marine,Unknown,Arctic,Yes,No,No,Number of nests,Survey area for nests,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,1,,,2,4,4,3,,,,,,,
8231," Cadieux, M.-C., G. Gauthier, et al. (2008). Monitoring the environmental and ecological impacts of climate change on bylot island, sirmilik national park. 2004-2008 NEL Final Report, Université Laval: 1-118.",Aves,Charadriiformes,Scolopacidae,Phalaropus,fulicarius,,"(Linnaeus, 1758)",Red phalarope / Grey phalarope,"Southern Plain, Sirmilik National Park, Bylot Island, (Qarlikturvik Valley /main goose nesting colony)",Canada,North America,73,-80,TRUE,Marine,Unknown,Arctic,Yes,No,No,Number of nests,Survey area for nests,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,,,,,,,
12225,"Gilchrist, H., G. and M. L. Mallory (2005). Declines in abundance and distribution of the ivory gull (Pagophila eburnea) in Arctic Canada."" Biological Conservation 121: 303-309.""",Aves,Charadriiformes,Laridae,Pagophila,eburnea,,"(Phipps, 1774)",Ivory gull,Ellesmere Island,Canada,North America,77.44694,-80.822296,FALSE,Marine,Unknown,Arctic,Yes,No,No,Number of individual ivory gulls,All surveys conducted by helicopter counting all individuals,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,11,,,,,,,,,,,
in Barrow Strait, Nunavut," Canada."" Arctic 62(1): 96-101.""",Aves,Charadriiformes,Laridae,Rissa,tridactyla,"(Linnaeus, 1758)",Black-legged kittiwake,"Washington Point, Baillie-Hamilton Island, Barrow Strait, eastern Nunavut",Canada,North America,75.775022,-94.280822,TRUE,Marine,Unknown,Arctic,Yes,No,No,Number of individuals in colony,High quality photos taken during a helicopter flight in July. The assembled photos of the entire colony were used to count the birds.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3464,,,5488,6273,,,,,,
in Barrow Strait, Nunavut," Canada."" Arctic 62(1): 96-101.""",Aves,Charadriiformes,Laridae,Rissa,,"(Linnaeus, 1758)",Black-legged kittiwake,"Browne Island, Barrow Strait, eastern Nunavut",Canada,North America,74.82,-96.36,TRUE,Marine,Unknown,Arctic,Yes,No,No,Number of individuals in colony,High quality photos taken during a helicopter flight in July. The assembled photos of the entire colony were used to count the birds.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3430,3221,3941,3689,,,,,,
13097,"Raven, G. H. and D. D. Lynne (2006). Changes in distribution and abundance of birds on western Victoria Island from 1992-1994 to 2004-2005. Technical Report Series No. 456. Edmonton, Canadian Wildlife Service, Prairie and Northern Region.",Aves,Anseriformes,Anatidae,Somateria,mollissima,,"(Linnaeus, 1758)",Common eider,"Quunnguq Lake, Western Victoria Island",Canada,North America,69.946719,-112.144995,TRUE,Marine,Unknown,Arctic,Yes,No,No,Number of individuals per km2,Straight line aerial transects flown at 30m a.s.l.  2 observers recorded all birds within 200m of the helicopter,No,,,,,,,,,,,,,,,,,,,,,,,,39.2,6.2,1.5,,,,,,,,,,0.8,3.9,,,,,,,,
13098,"Raven, G. H. and D. D. Lynne (2006). Changes in distribution and abundance of birds on western Victoria Island from 1992-1994 to 2004-2005. Technical Report Series No. 456. Edmonton, Canadian Wildlife Service, Prairie and Northern Region.",Aves,Anseriformes,Anatidae,Somateria,mollissima,,"(Linnaeus, 1758)",Common eider,"Kagloryuak River Valley, Western Victoria Island",Canada,North America,70.275612,-110.738745,TRUE,Marine,Unknown,Arctic,Yes,No,No,Number of individuals per km2,Straight line aerial transects flown at 30m a.s.l.  2 observers recorded all birds within 200m of the helicopter,No,,,,,,,,,,,,,,,,,,,,,,,,0,1.5,0.7,,,,,,,,,,0,0,,,,,,,,
13099,"Raven, G. H. and D. D. Lynne (2006). Changes in distribution and abundance of birds on western Victoria Island from 1992-1994 to 2004-2005. Technical Report Series No. 456. Edmonton, Canadian Wildlife Service, Prairie and Northern Region.",Aves,Anseriformes,Anatidae,Somateria,mollissima,,"(Linnaeus, 1758)",Common eider,"Tahiryuak Lake, Western Victoria Island",Canada,North America,70.960079,-111.867134,TRUE,Marine,Unknown,Arctic,Yes,No,No,Number of individuals per km2,Straight line aerial transects flown at 30m a.s.l.  2 observers recorded all birds within 200m of the helicopter,No,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,0,0,,,,,,,,
