population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1656,1,0.0221909011717107,0.02724652261539,-0.00880186561122231,-0.0396030059551773,-0.020266311408573,0.0131861650408842,0.00599115450643728,-0.0219814733157597,-0.0097931411174228,0.0406213331370737,0.061123426797927,0.0195412055933373,-0.034441131530158,-0.0452320746261896,-0.0254994561210236,-0.023103478826227,-0.0484597678829957,-0.0732613070464296,-0.081498629471251,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8129,1,0.0642958832392408,0.0642958832392408,0.0642958832392404,0.0642958832392408,0.0642958832392408,0.0642958832392408,0.0642958832392404,0.0642958832392408,0.0642958832392408,0.0642958832392404,0.0642958832392408,0.0642958832392408,0.0642958832392408,0.0642958832392404,0.0642958832392408,0.0642958832392408,-0.0248737110146138,-0.0298438821984055,-0.0248614885456457,-0.0149232922142573,0.0300102988185933,0.0399858299745635,0.0399453193425412,-0.0448143307841256,0.0499614951826088,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8130,1,0.00646568797559199,0.00646568797559199,0.00646568797559244,0.00646568797559199,0.00646568797559244,0.00646568797559199,0.00646568797559199,0.00646568797559244,0.00646568797559199,0.00646568797559199,0.00646568797559244,0.00646568797559199,0.00646568797559199,0.00646568797559244,0.00646568797559199,0.00646568797559244,0.00646568797559199,0.00646568797559199,0.00646568797559244,0.00646568797559199,0.00646568797559199,0.0923279585652921,0.0449551997454036,-0.044747054770462,0.00248998951694679,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2555,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0149520207907152,0.0148031480627202,0.0145099659318901,0.0141265943438884,0.0137081058152571,0.0132535606706234,0.0127153308305941,0.0120657177707304,0.0112406114940102,0.010220444581162,0.009031857271109,0.00780332999952771,0.00663119904549214,0.00549879251163055,0.00430758164982126,0.0029695931744631,0.00146613439853094,-0.000179235060090654,-0.00195764601486825,-0.00386289616141555,-0.00580117856604589,-0.00753706400418541,-0.00878447553427009,-0.00939638182383606,-0.00947693170048458,-0.00930081805470739,-0.00911918087710029,-0.00903433771849071,-1,-1,-1,-1,-1,-1
1706,1,0.021131936143759,0.0145718269771025,0.00903814874110864,0.00388909710454488,-0.00110541562563116,-0.00566768476607526,-0.00968013350160701,-0.0134109735682699,-0.0169068846866933,-0.0195990689819401,-0.0210682204054766,-0.0222327022345095,-0.0252199926590202,-0.0314640693289583,-0.0398372968273613,-0.0470654133286064,-0.050425272209456,-0.050131582502881,-0.0488532424371306,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1709,1,0.001855623714762,-0.00211401361071673,-0.0149600066539017,-0.0366823554147993,-0.0672810598934079,-0.103665314852202,-0.129968317360861,-0.129084934260917,-0.0977532602890148,-0.0403402851703916,0.0243590597770946,0.0698542135174984,0.078770666525187,0.0547129650245446,0.0189979702135581,-0.00528951683421264,-0.0088352599119963,0.000592202274471099,0.00767502017219313,0.00239311752286309,-0.0139073864525736,-0.0318666878080403,-0.0423834334216839,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2617,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.121043824612526,0.112633169838321,0.0933683739078595,0.0628158113972286,0.0255936860909123,-0.00813629333327937,-0.0273626810423115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1910,1,0.0653015784065492,0.0814265050440048,0.0759265757312,0.0568010191093786,0.0365977231126315,0.0171297235082322,-0.000256786997194336,-0.00816260683525183,-0.00596519170442145,0.000511567548051151,0.00867293424097726,0.0259957532611446,0.0483505405674838,0.034832402008377,-0.0602289381202805,-0.209749136098063,-0.29922416842846,-0.233408810411578,-0.0530717885129386,0.0965076188617648,0.122866363597744,0.0730027894925938,0.0441534498530411,0.0539214413222884,0.0490338867568583,0.0172324667946713,0.0171202538971302,0.0799754931644725,0.146901511306935,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1907,1,-0.0136430586781335,-0.0136430586781335,-0.0136430586781335,-0.0136430586781335,-0.062157276161753,-0.062157276161753,-0.062157276161753,-0.062157276161753,-0.0621572761617522,-0.062157276161753,-0.062157276161753,-0.062157276161753,-0.062157276161753,-0.062157276161753,-0.0621572761617522,-0.34845464559212,-0.636822097587174,0.602059991327963,0,-0.0621479067488444,-0.230365419265747,-0.230365419265746,0.0203810719383903,0.0203810719383899,0.0203810719383903,0.0203810719383903,0.0203810719383903,0.0203810719383899,0.0203810719383903,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1921,1,-0.015073622444453,-0.0150736224444525,-0.0150736224444525,-0.0150736224444525,0.014518258442501,0.0145182584425014,0.014518258442501,0.014518258442501,0.014518258442501,0.014518258442501,0.014518258442501,0.014518258442501,0.0145182584425019,0.014518258442501,0.014518258442501,-0.0886374870420665,-0.770033360161464,0.0871501757189002,0.0377885608893997,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1905,1,-0.00638722559185911,-0.00638722559185911,-0.00638722559185823,-0.00638722559185911,-0.00638722559185823,-0.00638722559185911,-0.00638722559185911,-0.00638722559185823,-0.00638722559185911,-0.00638722559185823,-0.00638722559185911,-0.00638722559185911,-0.00638722559185823,-0.00638722559185911,-0.00638722559185911,-0.00638722559185823,-0.832863583597246,0.346787486224657,0.0511525224473814,-0.107261739084867,-0.107261739084866,-0.107261739084867,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2704,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0258859621609506,0.0431736146996409,0.0801673893650223,0.00397488518467526,-0.145944577546261,-0.31211908336954,-0.322892851307417,-0.16586598998775,0.0102847813795255,0.0732087015611156,0.0367019689483592,0.00265128964841499,0.0241573093220471,0.067811423311376,0.0856626054680751,0.074226774945966,0.0568283238658334,0.0442533003956398,0.0337688958988573,0.0288440693411449,0.0373408784589104,0.0541496259942691,0.0617306632539774,0.0502226386404141,0.0283463543006843,0.0122372140789393,0.00876573989992524,0.0116630890162703,-1,-1,-1,-1,-1,-1
2703,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.404945446429338,-0.370806429098397,-0.288797768932008,-0.164590042179675,-0.0379456332945265,0.029788577178679,0.000104494023029922,-0.0960000498678766,-0.166873149095962,-0.13827531791479,-0.028053122269093,0.0703725206162225,0.0846238779489132,0.0302797000990007,-0.0262466165968425,-0.0517154997903413,-0.0664895870971836,-0.0876692199006552,-0.0906536849712267,-0.0508177696357528,-0.000115810761147195,-0.00236920334388135,-0.0685947070739845,-0.133340033802741,-1,-1,-1,-1,-1,-1
2700,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0637376580965225,-0.710953060177615,0.0858085609366428,0.0625296295467122,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1928,1,0.0803153248402322,0.0864922481156136,0.054354128845989,0.0200770543254252,0.00983849942590087,0.00710701998648844,-0.0151192621219018,-0.0537989628613755,-0.0946317674827735,-0.0903250566160159,-0.0409030827735153,0.00831474842189728,0.0303620027102971,0.0354185906028865,0.0292187655123057,-0.00521389862902177,-0.0638711206372045,-0.0939434852587295,-0.0501882630589301,0.0325519456171812,0.0672656957875053,0.023274476031474,-0.0345142567588912,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
