Species,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Fratercula_arctica,1,0.0309841574621812,0.0326693646100743,0.0206532352012035,0.0103861884198852,0.0168317532687534,0.0279825787519057,0.0255842419070899,0.0162600326330245,0.02032281003247,0.0371276347839687,0.0367092547008689,0.0262764812177226,0.0127076014041412,0.00991402273313291,0.0147425552272666,0.0152279132648074,-0.0135381150228558,-0.0211434458746282,-0.0221634546368235,0.000587613447498914,0.0151692813550981,0.0467057061797944,0.0305105727111457,-0.0280208643476523,0.0189196887831256,0.0029695931744631,0.00146613439853094,-0.000179235060090654,-0.00195764601486825,-0.00386289616141555,-0.00580117856604589,-0.00753706400418541,-0.00878447553427009,-0.00939638182383606,-0.00947693170048458,-0.00930081805470739,-0.00911918087710029,-0.00903433771849071,NA,NA,NA,NA,NA,NA
Larus_canus,1,0.0114937799292605,0.00622890668319287,-0.00296092895639655,-0.0163966291551272,-0.0341932377595195,-0.0546664998091384,-0.0698242254312338,-0.0712479539145935,-0.057330072487854,-0.0299696770761658,0.001645419685809,0.0238107556414945,0.0267753369330834,0.0116244478477932,-0.0104196633069016,-0.0261774650814095,-0.0296302660607262,-0.0247696901142049,-0.0205891111324688,0.00239311752286309,-0.0139073864525736,-0.0318666878080403,-0.0423834334216839,NA,NA,NA,0.121043824612526,0.112633169838321,0.0933683739078595,0.0628158113972286,0.0255936860909123,-0.00813629333327937,-0.0273626810423115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uria_aalge,1,0.00754941792302588,0.0115806495823899,0.0102056672541889,0.00542427809873336,-0.00435713004961968,-0.00922412995071964,-0.0135707575770764,-0.0155472125365905,-0.0149978587538829,-0.0133786689407648,-0.0142478542462169,0.00302862492993485,0.0148983373242793,-0.00304379122361178,-0.110857534234498,-0.19998452355551,-0.551655270027341,0.0797059102327371,0.010105438922222,0.00601905035356953,-0.0355908663562961,-0.0715946258154963,-0.0195453294956208,0.00095965466431619,0.0317561104735577,0.0455532085738125,0.0447383819125668,0.0437223913993757,0.0437012156368351,-0.0114357152245982,-0.0145743543191366,-0.0167597969531931,-0.0144615108586247,-0.00029756549766935,0.0141152717697686,0.00493400536752897,-0.0299144835870296,-0.0608384723932351,NA,NA,NA,NA,NA,NA
Uria_lomvia,1,0.0573474654142041,0.0604359270518948,0.0443668674170825,0.0272283301568006,0.00950936929190194,0.00859887614543113,0.00119011544263407,-0.0117031181371902,-0.0253140530109895,-0.0238784827220703,-0.00740449144123723,0.00900145229056741,0.0163505370533673,-0.00809807389980162,-0.0101646822633289,-0.0117549209730046,-0.0264192264750504,-0.0118391764586337,-0.00090037090868389,0.0204105660006938,0.0319818160574686,0.0173180761387914,0.022489526025752,0.0414907869539668,0.0020526569867676,0.0197953115119058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mallotus_villosus,1,0.407799114690995,0.511944398574405,0.432013112871614,0.180125311246441,0.107625042300274,0.02643931931409,-0.0648564253493072,-0.124089271439706,-0.141855395709626,-0.130900186341526,-0.0566950521664034,-0.028904311219335,-0.0019216917608742,-0.0036759675818705,-0.0261977327761318,-0.0389342528081967,-0.0235111331200412,0.0158874509659206,0.0585517190602461,0.103909815036372,0.120928404666277,0.078248336009636,-0.0115656868495719,-0.0884331594008954,-0.0965741730204194,-0.0355588513386076,0.0484601851620513,0.110564486855287,0.131462443174976,0.106480691189585,0.0389597817706269,-0.0475538788079615,-0.110245391386528,-0.116741334003485,-0.0707273991928896,-0.00333373081830746,0.0530607396903786,0.0782407571643955,0.0659225729323742,0.0902097925261471,0.0232080299031141,-0.0181569815829432,-0.0404794689258021,-0.0505808840453903
Rissa_tridactyla,1,-0.0098521159042001,-0.0131076589219289,-0.0160303296780265,-0.0189744597744598,-0.022244895685675,-0.0249237054361799,-0.0255322005735049,-0.0237312181515442,-0.0207523145846228,-0.0181656175261745,-0.0135258551380113,-0.0111402768180677,-0.0116200755439106,-0.0124410647630092,-0.0134152621093132,-0.0145432613951851,-0.0158243816898001,-0.014506378162052,-0.0151005822524267,-0.0149835754144105,-0.0146875642057258,-0.0161620680971986,0.037704815530544,0.0390981607796981,0.0403801931396982,0.0411793612055843,-0.00208513586838655,-0.00422891651312207,-0.0085444083324635,-0.0191631985599471,-0.0305161139223101,-0.0348387713557499,-0.026690251748031,-0.0294511956393042,-0.0319167104683487,-0.033447306518088,-0.0619356365315529,-0.0618130287835471,NA,NA,NA,NA,NA,NA
Sterna_paradisaea,1,-0.119537801453054,-0.109542214448195,-0.0823128428338127,-0.0488628734359517,-0.017695182457965,0.00831616866759721,0.030133613884554,0.0482647860558425,0.0599468123129572,0.0602995406926612,0.0160711031145894,-0.00064205374909676,-0.0192321511686317,-0.033699902924309,-0.0384517633505695,-0.0341318918911104,-0.0243685808907658,-0.0135019913677827,-0.00290955588643652,0.00540134242548984,0.0103762465935765,0.012349926743685,-0.0447936732060281,-0.0447936732060281,-0.0447936732060281,-0.0447936732060282,0.0149623090417763,0.0166624308511496,0.0199306985130389,0.0242536267024622,0.0291221987783556,0.0341618455295952,0.0523621192272329,-6.93055592386749e-05,0.00385794244147419,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pollachius_virens,1,0.00240259236457785,-0.00803796683241398,-0.00824437111916421,-0.0376437528658924,-0.0987436353859588,-0.138024237740826,-0.116927364652816,-0.0657220148971138,-0.0381516482797863,-0.0379107842914639,-0.026693960151726,0.00503268610060292,0.0150728987885405,-0.0309212114791588,-0.10139919625927,-0.1222806106826,-0.0572259448799537,0.0456695042995081,0.0951145204521966,0.050029421229854,-0.0310044088706647,-0.0474455267657241,0.0307663943987437,0.126282753634502,0.145239026368751,0.0865900464942388,0.0311398003548309,0.0317319974945534,0.0571355907354425,0.0554697016312202,0.0305777198926371,0.022714822844037,0.0400147024473885,0.0506609686001349,0.0344904561182364,0.00378680140906518,-0.0279970819118436,-0.0615543239668392,-0.0871366138475853,-0.0800064343975881,-0.0396290846335505,-0.00512928613386343,-0.00693866978104385,-0.0255753969160635
Larus_smithsonianus,1,-0.00611907642987797,-0.00611907642987752,-0.00611907642987797,-0.00611907642987797,-0.00611907642987752,-0.00611907642987797,-0.00611907642987752,-0.00611907642987797,-0.00611907642987797,-0.00611907642987752,-0.00611907642987797,-0.278753600952829,0.0413926851582249,-0.0202033860882871,-0.00415595977115757,-0.204119982655925,0.0621479067488444,-0.068881289407813,0.235212711174338,-0.166331421766525,0.1249387366083,-0.259637310505756,0.072550667148612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0152524968535583,-0.0152524968535583,-0.0152524968535583,NA,NA,NA,NA,NA,NA,NA
Stercorarius_parasiticus,1,0.0265504167412499,0.0265504167412656,0.0265504167412829,0.026550416741301,0.0265504167413213,0.0265504167413426,0.0265504167413654,0.0265504167413899,0.0265504167414155,0.0265504167414421,0.0265504167414679,0.0265504167414925,0.0265504167415156,0.0265504167415378,0.0265504167415582,0.0265504167415778,0.0265504167415958,0.0265504167416126,0.0265504167416282,0.0281324373600884,0.0281324373604267,0.0281324373609004,0.0281324373611861,0.0281324373611125,0.0281324373608055,0.0297144579794357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
