"LPI_final" "CI_low" "CI_high"
"1970" 1 1 1
"1971" 2.55740267255785 2.55740267255785 2.55740267255785
"1972" 8.31272690974952 8.31272690974952 8.31272690974952
"1973" 15.6073772580804 10.836854195909 22.4779461338514
"1974" 24.3166036480632 13.8113833274941 42.8123091623932
"1975" 31.238812216061 17.2534927647348 54.9996909854832
"1976" 32.1077922640925 17.2781657995732 61.4260114233326
"1977" 25.7721024947763 12.2398791729408 47.8698243380056
"1978" 17.6307427302383 6.01302396026356 46.7017282331404
"1979" 12.0623767688098 3.92278017352878 35.9873882734973
"1980" 8.82150887399084 2.33228001216117 30.5643470707457
"1981" 8.79223946827878 2.32454160245313 30.4629358170116
"1982" 8.61314990339665 2.27719289844709 29.8424347557992
"1983" 6.51135455827496 1.55021109843687 25.539073982905
"1984" 4.84688756952907 1.25380831292459 17.5237607707678
"1985" 3.80641580560199 0.977804144853978 14.4628611808605
"1986" 4.9304527473921 1.38177858567387 25.8855717601841
"1987" 4.49792811854033 1.26032203297097 22.7808214403247
"1988" 4.04340155673681 1.03818658953016 18.9822337546249
"1989" 3.63287202527083 0.879370772336872 18.1425665553079
"1990" 3.31228661198492 0.801575727694366 16.201586350568
"1991" 3.10619027236816 0.780965902645369 14.6360314833834
"1992" 3.02863793168509 0.740913156397158 14.2706132699711
"1993" 3.07130136220233 0.751228655949369 14.427389043914
"1994" 3.21121909377231 0.785452002028123 15.0846503509107
"1995" 3.42678954451716 0.798959371437834 15.6828242653547
"1996" 3.71077744770748 0.894533935661496 16.5070281062781
"1997" 4.05873450276178 0.975355801469175 18.0548808052072
"1998" 4.46326751278676 1.03006280130529 19.0296701085955
"1999" 4.91179249734288 1.17775705749501 21.78420188707
"2000" 5.38443581467001 1.29108818924804 23.9739290786911
"2001" 6.25999741731579 1.50103167878787 27.8723229844492
"2002" 7.13185526230647 1.71008707569758 31.7542260959246
"2003" 7.93627966297711 1.90297317901395 35.3358851953429
"2004" 8.61917443853368 2.06671872442803 38.3764397642722
"2005" 9.22393812788683 2.21172987944684 41.0691196098409
"2006" -99 NA NA
"2007" -99 NA NA
"2008" 1.4475138121547 3.20150954925454 59.448117888278
"2009" 0.3646408839779 0.80648713836183 14.9754800787265
"2010" -99 NA NA
"2011" -99 NA NA
"2012" -99 NA NA
"2013" -99 NA NA
