Species,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Pollachius_virens,1,0.0024025923651747,-0.00803796683169811,-0.00824437111987741,-0.0376437528670692,-0.0987436353857154,-0.138024237739528,-0.116927364652383,-0.0657220148981574,-0.0381516482805155,-0.0379107842908244,-0.0266939601509364,0.00503268610036312,0.0150728987873618,-0.0309212114799582,-0.101399196258631,-0.12228061068104,-0.0572259448791774,0.0456695042984467,0.0951145204502346,0.0500294212291585,-0.0310044088692605,-0.0474455267637826,0.0307663943989267,0.126282753632719,0.145239026367249,0.0865900464948073,0.0311398003563479,0.0317319974948802,0.0571355907345756,0.0554697016304795,0.0305777198931185,0.0227148228447325,0.0400147024473547,0.0506609685998578,0.0344904561179238,0.00378680140912646,-0.0279970819121154,-0.0615543239669059,-0.0871366138470933,-0.0800064343971716,-0.0396290846338312,-0.005129286134542,-0.00693866978116198,-0.0255753969152295
Uria_aalge,1,-0.0143583405612933,-0.014358340561293,-0.014358340561293,-0.014358340561293,-0.023819508859626,-0.0238195088596258,-0.023819508859626,-0.023819508859626,-0.0238195088596256,-0.023819508859626,-0.0245083266267464,-0.00148846767321868,0.0108427905485748,-0.0145547108448537,-0.149632260423716,-0.236751060639741,-0.545899827633142,0.0889125391632161,0.0145314677042226,0.0136164573303256,-0.0645196520981173,-0.10790472649507,-0.040778255945181,-0.0166942742216863,0.0259968517124533,0.0549934558335327,0.0539444245843866,0.0316380241443341,0.00930111708011612,-0.0114357152246131,-0.0145743543191039,-0.0167597969531792,-0.0144615108586394,-0.000297565497667573,0.0141152717697598,0.00493400536757016,-0.0299144835870219,-0.0608384723933053,NA,NA,NA,NA,NA,NA
Uria_lomvia,1,0.034379605988176,0.034379605988176,0.034379605988176,0.034379605988176,0.034379605988176,0.034379605988176,0.034379605988176,0.034379605988176,0.034379605988176,0.034379605988176,0.0343796059881756,0.034379605988176,0.034379605988176,-0.0440228147639203,-0.0440228147639203,-0.0440228147639199,-0.0440228147639203,0.0443697499232711,0.0443697499232711,0.0443697499232716,0.0443697499232711,0.0443697499232711,0.0197953115119063,0.0197953115119063,0.0197953115119063,0.0197953115119058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alca_torda,1,0.00800807973655167,0.00800807973655182,0.00800807973655152,0.00800807973655167,0.00800807973655197,0.00800807973655152,0.00800807973655152,0.00800807973655182,0.00800807973655167,0.00800807973655167,0.00800807973655182,0.00800807973655167,0.00800807973655167,0.00800807973655182,0.00800807973655152,0.0220176785972379,0.0220176785972384,0.0220176785972384,0.0250858329719983,0.0250858329719987,0.0250858329719983,0.0250858329719983,0.0250858329719987,NA,NA,NA,0.0528691590621984,0.0427887459925866,0.00983240608955693,-0.0495525771128569,-0.110386506532862,-0.131592963887512,-0.0967618347803567,-0.0414373197397584,-0.0305470015305458,-0.0991063151298244,-0.212659636538436,-0.294193956334526,NA,NA,NA,NA,NA,NA
Mallotus_villosus,1,NA,NA,NA,0.0804385956744118,0.0830114177717103,0.0881570619666807,0.0947947307270784,0.096763602192864,0.0856323518992617,0.0595633481129254,0.0185565908339793,-0.0359418734640005,-0.0947866680402494,-0.139095795780577,-0.147699170534016,-0.109229019907831,-0.0218411976176165,0.100235388762702,0.200085108936749,0.251794256850968,0.207808755112246,0.0651523894494592,-0.111127982844422,-0.225053116648029,-0.212367666731134,-0.0824546028607449,0.0927699348750919,0.229107435358006,0.274458971045925,0.219120589861638,0.0848049833730311,-0.081840381796817,-0.212611341837002,-0.241279904186136,-0.147914229145066,0.0157011584122357,0.156273594448244,0.206405683366443,0.167375392677009,0.0902097925260095,0.0232080299032464,-0.0181569815827345,-0.0404794689258998,-0.050580884045726
Fratercula_arctica,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0149520207907132,0.0148031480627213,0.0145099659318904,0.0141265943438882,0.0137081058152573,0.0132535606706248,0.0127153308305936,0.0120657177707311,0.0112406114940105,0.0102204445811613,0.00903185727110967,0.00780332999952682,0.00663119904549303,0.00549879251163077,0.0043075816498197,0.00296959317446488,0.00146613439853027,-0.000179235060091321,-0.00195764601486714,-0.00386289616141622,-0.00580117856604523,-0.00753706400418519,-0.00878447553427275,-0.00939638182383518,-0.00947693170048436,-0.00930081805470784,-0.00911918087709984,-0.00903433771849205,NA,NA,NA,NA,NA,NA
Rissa_tridactyla,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000844873513472066,-0.00191173881444273,-0.00387818208873369,-0.00569798427999579,-0.00616423284705236,-0.00536363586779798,-0.00464917559809042,-0.00468306910856509,-0.00660555989587852,-0.0111792653407106,-0.011616950641413,-0.0128844145975934,-0.011478878917832,-0.00958673781120482,-0.00755059969951777,-0.006383604612432,-0.00805572582030652,-0.0142727118888564,-0.0246773757813325,-0.0365428894048268,-0.0465555110821847,-0.0530369651686615,-0.0507096734918931,-0.0552526070085483,-0.059034104711651,-0.0612938929477945,-0.0619356365315512,-0.0618130287835564,NA,NA,NA,NA,NA,NA
Polysticta_stelleri,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0171806750473991,0.0167041151284106,0.0150018160334273,0.0115130877197918,0.00661622797569272,0.00144882325830942,-0.0030721011261492,-0.00703125078194056,-0.0111576850888593,-0.0156710168468561,-0.0206943241219228,-0.0260284094483039,-0.0314074705408243,-0.0366621311620969,-0.0414795805581325,-0.0452582002592732,-0.047508904695539,-0.0484734378647276,-0.0491314196717547,-0.0503478862906834,-0.0520000184115683,-0.0531589390994895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boreogadus_saida,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0337447335581489,0.0363660806803203,0.0419834655780376,0.0492138761702665,0.055179614020417,0.0577870082928214,0.0573903700184335,0.0559620174320936,0.055015881431193,0.0547264964688767,0.0544508409275037,0.05312981084775,0.0493596471467632,0.0422964265060899,0.0330251060804732,0.0241977542886467,0.0174922097143262,0.0117770484924886,0.00446544192028853,-0.00558733096231068,-0.0172277526133051,-0.0287370775507934,-0.0393319488116832,-0.0486896904424476,-0.0560190871876443,-0.06048444856195,-0.0622471981430688,NA
Sebastes_mentella,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0818666866211735,0.0884665648201253,0.0896514564719157,0.073963236818269,0.0439227026215412,0.0119671004965283,-0.0137951168183998,-0.0349501846286762,-0.0552490621965878,-0.0730160002461946,-0.0829994251781319,-0.0827665825404522,-0.0747264002377181,-0.0630568015080573,-0.0503798795789896,-0.0363486821099253,-0.0177920942588088,0.00849290831110094,0.0405154200070421,0.0690268045635674,0.0836963222198905,0.0825969687607744,0.073846082936921,0.0669922737568105,0.0647651929438147,NA,NA,NA
