"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"Balaenoptera_physalus","Balaenoptera_physalus",2,1,0.000533578929841294,0.00053357892984085,0.000533578929841294,0.00053357892984085,0.000533578929841294,0.00053357892984085,0.000533578929841294,0.000533578929841294,0.00053357892984085,0.000533578929841294,0.00053357892984085,0.000533578929841294,0.00053357892984085,0.000533578929841294,0.000533578929841294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gadus_morhua","Gadus_morhua",29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.340252629944644,-0.176753508696833,0.177047863958845,0.54516619203549,0.582400871999419,0.142856552698103,-0.47700056188534,-0.814900813139687,-0.731716612297101,-0.484974656201386,-0.336068942417195,-0.267104936109936,-0.144471689301128,0.0178548519226154,0.111743803454873,0.145205302976433,0.210840755420031,0.280033576691728,0.230599006535684,0.110084325116916,0.157607164291622,0.434892639166203,0.611745329031591,0.344657397527191,-0.204961163240095,-0.496234063786335,-0.295016048294197,0.0292338307568922
"Hippoglossoides_platessoides","Hippoglossoides_platessoides",10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.059419341198736,-0.0618472087179027,-0.0688092771103221,-0.0814990691249569,-0.0984684661862838,-0.115977467164604,-0.129994883558161,-0.138371124978176,-0.141630131379254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Megaptera_novaeangliae","Megaptera_novaeangliae",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.115233428100922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pagophila_eburnea","Pagophila_eburnea",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0130936183316415,-0.0130936183316424,-0.0130936183316415,-0.0130936183316424,-0.0130936183316415,-0.0130936183316415,-0.0130936183316424,-0.0130936183316415,-0.0130936183316415,-0.0130936183316424,-0.0130936183316415,-0.0130936183316415,NA,NA
"Phalaropus_fulicarius","Phalaropus_fulicarius",6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.560667306169738,-0.0740362689494243,-0.0740362689494245,-0.0740362689494242,-0.0740362689494245,-0.0740362689494244,-0.0740362689494244,-0.0740362689494244,-0.0740362689494244,-0.0740362689494244,-0.0740362689494243,0.145843543898617,0.145843543898617,0.145843543898617,0.145843543898617,0.145843543898617,0.145843543898617,-0.0369747916027261,-0.0369747916027261,-0.0369747916027261,-0.0369747916027261,-0.0369747916027261,-0.036974791602726,0,NA,NA,NA,NA,NA,NA,NA
"Reinhardtius_hippoglossoides","Reinhardtius_hippoglossoides",20,1,0.0913964855827869,0.100133615460107,0.0852743514652943,0.0505823293091332,0.0181621972924284,0.00277128288016781,-0.00393606088473852,-0.0204685159481275,-0.0497736396252737,-0.0722262415904242,-0.0665836429858055,-0.0345085075916214,0.000356212792643085,0.0175910131068528,0.0196732215859514,0.0238074849448129,0.0378308407008081,0.0512307690843614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Somateria_mollissima","Somateria_mollissima",2,1,-0.0197644303455959,-0.0197644303455959,-0.0197644303455959,-0.0197644303455964,-0.0197644303455959,-0.0197644303455959,-0.0197644303455959,-0.0197644303455959,-0.0197644303455964,-0.0197644303455959,-0.0197644303455959,-0.0197644303455959,-0.0197644303455964,-0.0197644303455959,-0.0197644303455959,-0.0197644303455959,-0.0197644303455964,-0.0197644303455959,-0.0197644303455959,-0.0197644303455959,-0.0197644303455959,-0.0197644303455964,-0.0197644303455959,-0.0197644303455959,-0.0197644303455959,-0.0197644303455959,-0.0197644303455964,-0.0197644303455959,-0.0197644303455959,-0.0197644303455959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sterna_paradisaea","Sterna_paradisaea",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0447936732060283,-0.0447936732060281,-0.0447936732060281,-0.0447936732060281,-0.0447936732060281,-0.0447936732060281,-0.0447936732060281,-0.0447936732060281,-0.0447936732060283,-0.0447936732060281,-0.0447936732060281,-0.0447936732060281,-0.0447936732060282,-0.0447936732060281,-0.0447936732060281,-0.0447936732060282,0.085313893496479,0.0853138934964791,0.0853138934964791,0.085313893496479,0.0853138934964792,0.085313893496479,0.112226771092162,NA,NA,NA,NA,NA,NA,NA
