population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
6090,1,0.407799114690995,0.511944398574405,0.432013112871614,0.279812026818511,0.132238666828746,-0.0352784233385148,-0.224507581425807,-0.344942145072309,-0.335927249799977,-0.274860126967665,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1536,1,0.091396485582774,0.100133615460241,0.0852743514654084,0.050582329309095,0.0181621972922925,0.0027712828801052,-0.00393606088464393,-0.0204685159479903,-0.0497736396252657,-0.0722262415905695,-0.0665836429859441,-0.0345085075916067,0.000356212792781196,0.0175910131069439,0.0196732215858972,0.0238074849447103,0.0378308407008037,0.0512307690844827,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13310,1,-1,-1,-1,-1,-0.0534256036609153,-0.000462800117754014,0.0683687415605223,-0.0321399766351589,-0.0321399766351589,-0.0321399766351584,-0.0321399766351589,-0.0321399766351589,-0.0321399766351589,0.192889306979616,-0.0128228884798598,-0.0128228884798598,-0.0128228884798594,-0.0128228884798598,-0.0128228884798598,-0.0128228884798594,-0.0128228884798598,-0.0128228884798598,-0.0128228884798594,-0.0128228884798598,-0.0128228884798598,-0.0128228884798594,-0.0128228884798598,-0.0128228884798598,-0.0128228884798594,-0.0128228884798598,-0.0128228884798598,-0.0128228884798594,-0.0128228884798598,-0.223237312863588,-0.0387279611983109,0.116996753723413,-1,-1,-1,-1
12225,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.877685407217849,-1,-1,-1,-1,-1,-1,-1
14865,1,-1,-1,-1,-1,-1,-1,-1,-0.0214770691502602,-0.0214770691502597,-0.0214770691502597,-0.0214770691502602,-0.0214770691502597,-0.0214770691502597,-0.0214770691502602,-0.0214770691502597,-0.0214770691502602,-0.0214770691502597,-0.0214770691502602,-0.0214770691502597,-0.0214770691502597,-0.0214770691502597,-0.0214770691502602,-0.0214770691502597,-0.0214770691502602,-0.0214770691502597,-0.0214770691502597,-0.0214770691502602,-0.0214770691502597,0.343408593803857,-0.471252321055565,-0.529733591926087,0.24663394533511,0.24663394533511,-0.26748884742543,-0.638782798352702,1.25810179512217,0.223256512540747,-0.223256512540747,0.257304478673285,-1
14866,1,-1,-1,-1,-1,-1,-1,-1,-0.00997833175805063,-0.00997833175805063,-0.00997833175805063,-0.00997833175805063,-0.00997833175805063,-0.00997833175805063,-0.00997833175805063,-0.00997833175805063,-0.00997833175805063,-0.00997833175805063,-0.00997833175805063,-0.00997833175805063,-0.00997833175805063,-0.00997833175805063,-0.00997833175805063,-0.00997833175805019,-0.00997833175805063,-0.00997833175805063,-0.00997833175805063,-0.00997833175805063,-0.00997833175805063,-0.211460345821668,0.268237482267674,-0.042458439022885,-0.105133438533271,-0.105133438533271,0.176091259055681,-0.954242509439325,0.69437425264687,0.0311935201829441,0.602059991327963,-0.0175496395163979,-1
14864,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.194228048420689,0.136122135517206,-0.234575581986753,-1,-1
4320,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0074050441936544,0.0074050441936544,0.00740504419365395,0.0074050441936544,0.0074050441936544,0.0074050441936544,0.0074050441936544,0.0074050441936544,0.0074050441936544,0.00740504419365395,0.0074050441936544,0.0074050441936544,0.0074050441936544,0.0074050441936544,0.0074050441936544,0.0074050441936544,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8076,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.00600644044492205,-0.00600644044490739,-0.00600644044464271,-0.00600644044398502,-0.00600644044312704,-0.00600644044250176,-0.0060064404424387,-0.00600644044294407,-0.00600644044377852,-0.00600644044471199,-0.00600644044564635,-0.00600644044658916,-0.00600644044756171,-0.00600644044855114,-0.00600644044948462,-0.00600644045022136,-0.00600644045061349,-1,-1,-1,-1,-1,-1
13244,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.251471216223157,0.168063406043714,0.0632268998054837,0.074486124839245,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
