ID,Binomial,Reference,Class,Order,Family,Genus,Species,Subspecies,Authority,Common_name,Location,Country,All_countries,Region,Latitude,Longitude,Specific_location,System,T_realm,T_biome,FW_realm,FW_biome,M_realm,M_ocean,M_biome,Units,Method,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
13099,Somateria_mollissima,"{Raven, 2006 #3338}",Aves,Anseriformes,Anatidae,Somateria,mollissima,,"(Linnaeus, 1758)",Common eider,"Tahiryuak Lake, Western Victoria Island",Canada,Canada,North America,70.960079,-111.867134,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Number of individuals per km2,"Straight line aerial transects flown at 30m a.s.l., 2 observers recorded all birds within 200m of the helicopter",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13100,Somateria_mollissima,"{Raven, 2006 #3338}",Aves,Anseriformes,Anatidae,Somateria,mollissima,,"(Linnaeus, 1758)",Common eider,"Diamond Jenness Peninsula, Western Victoria Island",Canada,Canada,North America,70.736239,-116.559514,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Number of individuals per km2,"Straight line aerial transects flown at 30m a.s.l., 2 observers recorded all birds within 200m of the helicopter",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33,0.9,10.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.9,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13101,Somateria_mollissima,"{Raven, 2006 #3338}",Aves,Anseriformes,Anatidae,Somateria,mollissima,,"(Linnaeus, 1758)",Common eider,"Minto Inlet to Wynniatt Bay, Western Victoria Island",Canada,Canada,North America,71.952254,-113.030192,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Number of individuals per km2,"Straight line aerial transects flown at 30m a.s.l., 2 observers recorded all birds within 200m of the helicopter",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.8,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13102,Somateria_mollissima,"{Raven, 2006 #3338}",Aves,Anseriformes,Anatidae,Somateria,mollissima,,"(Linnaeus, 1758)",Common eider,"Prince Albert Peninsula, Western Victoria Island",Canada,Canada,North America,72.581289,-116.457926,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Number of individuals per km2,"Straight line aerial transects flown at 30m a.s.l., 2 observers recorded all birds within 200m of the helicopter",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.4,0.7,3.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.3,1.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13103,Somateria_mollissima,"{Raven, 2006 #3338}",Aves,Anseriformes,Anatidae,Somateria,mollissima,,"(Linnaeus, 1758)",Common eider,"Wollaston Peninsula, Western Victoria Island",Canada,Canada,North America,69.825001,-114.370524,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Number of individuals per km2,"Straight line aerial transects flown at 30m a.s.l., 2 observers recorded all birds within 200m of the helicopter",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.5,0.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13104,Somateria_mollissima,"{Raven, 2006 #3338}",Aves,Anseriformes,Anatidae,Somateria,mollissima,,"(Linnaeus, 1758)",Common eider,"Tassijuak Lake, Western Victoria Island",Canada,Canada,North America,68.887828,-112.876383,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Number of individuals per km2,"Straight line aerial transects flown at 30m a.s.l., 2 observers recorded all birds within 200m of the helicopter",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.4,1.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13244,Ursus_maritimus,"{Taylor, 2008 #3361}",Mammalia,Carnivora,Ursidae,Ursus,maritimus,,"Phipps, 1774",Polar bear,"Lancaster Sound, Nunavut",Canada,Canada,North America,74.646079,-92.875263,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Number of initial captures,Mark-recapture studies carried out over a systematic search of the area.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,51,91,134,155,184,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13245,Ursus_maritimus,"{Taylor, 2008 #3361}",Mammalia,Carnivora,Ursidae,Ursus,maritimus,,"Phipps, 1774",Polar bear,"Norwegian Bay, Nunavut",Canada,Canada,North America,78.310956,-95.276473,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Number of initial captures,Mark-recapture studies carried out over a systematic search of the area.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,36,19,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13310,Pagophila_eburnea,"{Robertson, 2007 #3376}",Aves,Charadriiformes,Laridae,Pagophila,eburnea,,"(Phipps, 1774)",Ivory gull,"Seymour Island, Nunuvat",Canada,Canada,North America,76.810568,-101.267751,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Number of individuals,"Aerial surveys conducted by three observers in June or July, flying 80-100m from cliff faces at 40-60km/h - when birds were spotted, the helicopter slowed to a hover for a count.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,339.78,300.45,300.13,351.3,NULL,NULL,NULL,NULL,NULL,225.34,351.34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,200.49,119.91,109.68,143.59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14864,Odobenus_rosmarus,"{Stewart, 2013 #3444}",Mammalia,Carnivora,Odobenidae,Odobenus,rosmarus,rosmarus,"Illiger, 1815",Pacific walrus,"Eastern Baffin Island, between Cape Dyer and Loks Land, Nunavut",Canada,Canada,North America,64.284513,-63.277839,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Minimum counted population,Aerial and boat surveys. Tags deployed on a small sample were used to adjust count to include the fraction of the population which was not present at the haul-outs during surveys.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,766,1198,1639,955,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14865,Odobenus_rosmarus,"{Stewart, 2013 #3445}",Mammalia,Carnivora,Odobenidae,Odobenus,rosmarus,rosmarus,"Illiger, 1815",Pacific walrus,"Penny Strait - Lancaster Sound, Nunavut",Canada,Canada,North America,74.21822,-83.9992,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Minimum counted population,Counts based on aerial surveys were adjusted through tagging to account for individuals not present at haul-outs.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,565,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,200,441,149,44,NULL,137,74,17,308,515,308,557,NULL,NULL,NULL,NULL,NULL,NULL
14866,Odobenus_rosmarus,"{Stewart, 2013 #3445}",Mammalia,Carnivora,Odobenidae,Odobenus,rosmarus,rosmarus,"Illiger, 1815",Pacific walrus,"West Jones Sound, Nunavut",Canada,Canada,North America,76.001667,-85.999722,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Minimum counted population,Counts based on aerial surveys were adjusted through tagging to account for individual not present at haul-outs.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,290,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,179,110,204,185,NULL,114,171,19,94,101,404,388,NULL,NULL,NULL,NULL,NULL,NULL
17829,Pusa_hispida,"{Ferguson, 2011 #3719}",Mammalia,Carnivora,Phocidae,Pusa,hispida,,"(Schreber, 1775)",Ringed seal,Western Hudson Bay,Canada,Canada,North America,59.871111,-91.911111,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Individuals per km2,Aerial surveys along strip-transects,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.219,0.992,0.677,NULL,0.445,0.606,NULL,NULL,NULL,NULL,NULL,NULL,0.917,0.439,NULL,0.727,NULL,NULL,NULL,NULL,NULL
