ID,Binomial,Reference,Class,Order,Family,Genus,Species,Subspecies,Authority,Common_name,Location,Country,All_countries,Region,Latitude,Longitude,Specific_location,System,T_realm,T_biome,FW_realm,FW_biome,M_realm,M_ocean,M_biome,Units,Method,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1832,Rissa_tridactyla,"{Anker-Nilssen, 2000 #1811}",Aves,Charadriiformes,Laridae,Rissa,tridactyla,NULL,"(Linnaeus, 1758)",Black-legged kittiwake,"Vilkitski Bay, Novaya Zemlya",Russian Federation,Russian Federation,Asia,70.76889,53.92139,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Breeding pairs,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,54000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4300,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1847,Stercorarius_parasiticus,"{Anker-Nilssen, 2000 #1811}",Aves,Charadriiformes,Stercorariidae,Stercorarius,parasiticus,NULL,"(Linnaeus, 1758)",Arctic jaeger / Parasitic jaeger / Arctic skua,"Kharlov Island, Murmansk Coast",Russian Federation,Russian Federation,Asia,68.8075,37.34528,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Breeding pairs,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,28,38,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1877,Sterna_paradisaea,"{Anker-Nilssen, 2000 #1811}",Aves,Charadriiformes,Laridae,Sterna,paradisaea,NULL,"Pontoppidan, 1763",Arctic tern,"Oneshski Bay, White Sea, Russia",Russian Federation,Russian Federation,Asia,64.99917,34.78,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Breeding pairs,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1879,Sterna_paradisaea,"{Krasnov, 1995 #1117}",Aves,Charadriiformes,Laridae,Sterna,paradisaea,,"Pontoppidan, 1763",Arctic tern,"Seven Islands, Murmansk Coast, Russia",Russian Federation,Russian Federation,Asia,68.8,37.43333,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Breeding pairs,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3200,1400,500,600,150,250,150,400,250,200,450,300,2000,1000,500,500,500,700,NULL,250,400,500,1700,500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1910,Uria_aalge,"{Krasnov, 1995 #1117}updated with{Krasnov, 2007 #1791}",Aves,Charadriiformes,Alcidae,Uria,aalge,,"(Pontoppidan, 1763)",Common murre / Common guillemot,"Karlov Island, Murmansk, Russia",Russian Federation,Russian Federation,Asia,68.81361,37.33639,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Number of individuals,Population counts/survey,NULL,NULL,NULL,NULL,2000,NULL,1200,NULL,2400,1800,1700,2700,2700,3200,1400,NULL,2100,2100,2200,2400,3000,2800,4100,4700,5200,5500,6100,NULL,6400,4800,6000,6050,6800,4900,8200,7800,7200,1100,1000,1200,1200,2000,2200,1900,2900,3300,2400,3500,3300,5700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1925,Uria_lomvia,"{Krasnov, 1995 #1117}",Aves,Charadriiformes,Alcidae,Uria,lomvia,NULL,"(Linnaeus, 1758)",Thick-billed murre / Guillemot,Bezymyannaya bay,Russian Federation,Russian Federation,Asia,68.26333,38.93583,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,individuals;,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81000,NULL,141000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1928,Uria_lomvia,"{Krasnov, 1995 #1117}",Aves,Charadriiformes,Alcidae,Uria,lomvia,,"(Linnaeus, 1758)",Thick-billed murre / Guillemot,Kharlov Island,Russian Federation,Russian Federation,Asia,68.81361,37.33639,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,individuals;,Unknown,NULL,NULL,NULL,NULL,950,NULL,250,NULL,400,750,800,1500,1000,800,700,NULL,950,900,1100,1000,1150,1200,1900,2000,1900,1900,2100,NULL,2050,1400,900,1100,1500,800,1200,1600,1500,900,1000,800,800,1100,1150,950,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2326,Mallotus_villosus,"{International Council for the Exploration of the Sea, 2010 #675}  updated with  {International Council for the Exploration of the Sea, 2014 #3584}",Actinopterygii,Osmeriformes,Osmeridae,Mallotus,villosus,,"(Maller, 1776)",Capelin,Barents Sea,Russian Federation,"Russian Federation, Norway, Finland",Asia,74,36,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,SSB (Thousand tonnes),Acoustic surveys in September,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33,NULL,NULL,253,22,NULL,NULL,NULL,316,106,100,109,NULL,NULL,34,NULL,84,92,643,302,293,139,60,60,85,94,382,599,626,496,427,94,122,72,189,330,517,504,487,504,479,389,NULL
4633,Ursus_maritimus,"{Derocher, 1997 #924}",Mammalia,Carnivora,Ursidae,Ursus,maritimus,,"Phipps, 1774",Polar bear,Wrangel Island State Nature Reserve,Russian Federation,Russian Federation,Asia,71.18861,-179.715,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,No of Polar bear dens/100km,aerial and ground transect surveys,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.1,9.9,6.5,5.1,2.9,3.4,2.9,2.2,4.9,4.4,5.1,NULL,3.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7999,Gasterosteus_aculeatus,"{Ivanova, 2008 #1790}",Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,aculeatus,NULL,"Linnaeus, 1758",Three spined stickleback,"Gorelyi Island, Kandalaksha Bay, White Sea, Russia",Russian Federation,Russian Federation,Asia,66.70861,33.27722,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Individuals per metre squared,"unknown (text in Russian, but presumably some type of fishing method/ capture and release method)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8,5.7,12.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8010,Gasterosteus_aculeatus,"{Ivanova, 2008 #1790}",Actinopterygii,Gasterosteiformes,Gasterosteidae,Gasterosteus,aculeatus,NULL,"Linnaeus, 1758",Three spined stickleback,"Seldianaya Inlet, Kandalaksha Bay, White Sea, Russia",Russian Federation,Russian Federation,Asia,66.70861,33.27722,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Individuals per metre squared,"unknown (text in Russian, but presumably some type of fishing method/ capture and release method)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,17.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8011,Rissa_tridactyla,"{Krasnov, 2007 #1791}",Aves,Charadriiformes,Laridae,Rissa,tridactyla,,"(Linnaeus, 1758)",Black-legged kittiwake,"Kharlov, Murman coast, North-West Russia",Russian Federation,Russian Federation,Asia,68.81361,37.33639,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Number of breeding pairs,Count of occupied nests,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5000,3000,4000,8000,2000,4000,4000,6000,10500,11500,8500,12000,18000,16000,17000,18000,21000,23000,24000,12000,13500,17000,18000,20000,21000,20000,24500,20000,29000,25000,21000,19000,21000,21000,20000,18500,20000,26000,19000,16000,22000,23000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8028,Pluvialis_squatarola,"{Kondratiev, 2008 #1792}",Aves,Charadriiformes,Charadriidae,Pluvialis,squatarola,,"(Linnaeus, 1758)",Grey plover / Black-bellied plover,"Kolguev Island, Russia",Russian Federation,Russian Federation,Asia,69.08333,49.25,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Number of pairs/sq. km,unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8031,Larus_hyperboreus,"{Kondratiev, 2008 #1792}",Aves,Charadriiformes,Laridae,Larus,hyperboreus,,"Gunnerus, 1767",Glaucous gull,"Kolguev Island, Russia",Russian Federation,Russian Federation,Asia,69.08333,49.25,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Number of (breeding) pairs,unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,250,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,350,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8111,Pagophila_eburnea,"{CAFF, 2008 #1809}",Aves,Charadriiformes,Laridae,Pagophila,eburnea,,"(Phipps, 1774)",Ivory gull,"Various in Canada, Greenland, Russia, Norway (midpoint latitude below)",Russian Federation,"Russian Federation, Greenland, Norway, Canada",Asia,78,-24,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Pairs of birds,unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9750,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8124,Polysticta_stelleri,"{Ebbinge, 2006 #1810}",Aves,Anseriformes,Anatidae,Polysticta,stelleri,NULL,"(Pallas, 1769)",Steller's eider,Taimyr Peninsula,Russian Federation,Russian Federation,Asia,74.16667,97.75,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Number of nests,unknown (presumably regular surveys carried out on the study site),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,5,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8129,Fratercula_arctica,"{Anker-Nilssen, 2000 #1811}",Aves,Charadriiformes,Alcidae,Fratercula,arctica,,"(Linnaeus, 1758)",Atlantic puffin,Gavriloski island,Russian Federation,Russian Federation,Asia,69.17111,35.91667,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,no. birds-% change from 1st count.,census,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,128.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1376.1,1299.5,1213.2,1145.7,1107,1186.2,1300.6,1425.9,1286.1,1442.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8130,Fratercula_arctica,"{Anker-Nilssen, 2000 #1811}",Aves,Charadriiformes,Alcidae,Fratercula,arctica,,"(Linnaeus, 1758)",Atlantic puffin,Seven islands,Russian Federation,Russian Federation,Asia,68.75,37.5,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,no. birds-% change from 1st count.,census,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,271.4,315.1,NULL,NULL,NULL,NULL,NULL,NULL,239.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,337.3,417.2,462.7,417.4,419.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8144,Stercorarius_pomarinus,"{Ebbinge, 2006 #1810}",Aves,Charadriiformes,Stercorariidae,Stercorarius,pomarinus,NULL,"(Temminck, 1815)",Pomarine skua / Pomarine jaeger,Taimyr Peninsula,Russian Federation,Russian Federation,Asia,74.16667,97.75,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Number of nests,unknown (presumably regular surveys carried out on the study site),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,17,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8168,Calidris_pygmaea,"{Zockler, 2009 #1821} updated with {Zockler, 2010 #3086}",Aves,Charadriiformes,Scolopacidae,Calidris,pygmaea,,"(Linnaeus, 1758)",Spoon-billed sandpiper,"Belyaka Spit & Yuzhny Island, Chukotka",Russian Federation,Russian Federation,Asia,67.06667,-174.61667,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Breeding pairs,Count survey,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,NULL,8,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
