1927,Uria_lomvia,"{Falk, 1997 #1151}",Aves,Charadriiformes,Alcidae,Uria,lomvia,,"(Linnaeus, 1758)",Thick-billed murre / Guillemot,Kap Brewster,Greenland,Greenland,Europe,70.5,-23.65,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,individuals;,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30900,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14470,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1945,Balaenoptera_physalus,"{Meredith, 1988 #527}",Mammalia,Cetacea,Balaenopteridae,Balaenoptera,physalus,NULL,"(Linnaeus, 1758)",Fin whale,Greenland,Greenland,Greenland,Europe,60.13333,-47,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Individuals,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7043,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7174,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8095,Clangula_hyemalis,"{Meltofte, 2007 #1807}",Aves,Anseriformes,Anatidae,Clangula,hyemalis,,"(Linnaeus, 1758)",Long-tailed duck,"The Karupelv Valley Project, Traill O, Kong Oscars Fjord, North-East Greenland",Greenland,Greenland,Europe,72.5,-24.01667,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Number of breeding pairs,Survey,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,1,1,1,1,2,1,1,1,1,0,1,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8101,Stercorarius_longicaudus,"{Meltofte, 2007 #1807}",Aves,Charadriiformes,Stercorariidae,Stercorarius,longicaudus,NULL,"Vieillot, 1819",Long-tailed jaeger / Long-tailed skua,"The Karupelv Valley Project, Traill O, Kong Oscars Fjord, North-East Greenland",Greenland,Greenland,Europe,72.5,-24.01667,1,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Number of breeding pairs,Survey,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,8,13,0,0,0,13,3,5,4,14,5,0,2,0,0,11,5,6,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8111,Pagophila_eburnea,"{CAFF, 2008 #1809}",Aves,Charadriiformes,Laridae,Pagophila,eburnea,,"(Phipps, 1774)",Ivory gull,"Various in Canada, Greenland, Russia, Norway (midpoint latitude below)",Russian Federation,"Russian Federation, Greenland, Norway, Canada",Asia,78,-24,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Pairs of birds,unknown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9750,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8236,Somateria_mollissima,"{Hansen, 2009 #1831}",Aves,Anseriformes,Anatidae,Somateria,mollissima,NULL,"(Linnaeus, 1758)",Common eider,"Zackerbergdalen, Northeast Greenland",Greenland,Greenland,Europe,74.08333,-21,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Number of breeding pairs,Census,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.5,0,0,0,1,1,0,0,1,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8238,Clangula_hyemalis,"{Hansen, 2009 #1831}",Aves,Anseriformes,Anatidae,Clangula,hyemalis,NULL,"(Linnaeus, 1758)",Long-tailed duck,"Zackerbergdalen, Northeast Greenland",Greenland,Greenland,Europe,74.08333,-21,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Number of breeding pairs,Census,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,5,6.5,7.5,6,6,6.5,8,6,6,5.5,5.5,7.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8244,Phalaropus_lobatus,"{Hansen, 2009 #1831}",Aves,Charadriiformes,Scolopacidae,Phalaropus,lobatus,NULL,"(Linnaeus, 1758)",Red-necked phalarope,"Zackerbergdalen, Northeast Greenland",Greenland,Greenland,Europe,74.08333,-21,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Number of breeding pairs,Census,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5,1,1.5,1.5,1.5,2,1.5,1.5,1,1,2,0.5,1.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8245,Phalaropus_fulicarius,"{Hansen, 2009 #1831}",Aves,Charadriiformes,Scolopacidae,Phalaropus,fulicarius,NULL,"(Linnaeus, 1758)",Red phalarope / Grey phalarope,"Zackerbergdalen, Northeast Greenland",Greenland,Greenland,Europe,74.08333,-21,0,Marine,NULL,NULL,NULL,NULL,Arctic,Arctic Ocean,Unknown,Number of breeding pairs,Census,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0.5,0,0,1,0,0,0,1,6,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
